41 42
1 4.97952071400230e-02 1.50001336028370e-02 -3.60697843215400e-02
2 5.97952071387740e-02 1.50001336037510e-02 -1.87492762461800e-02
3 1.00000000000000e-02 1.36069561037050e-02 6.42350543446140e-02
4 -1.00000000000000e-02 1.36069561037050e-02 6.42350543446140e-02
5 -5.08055594432700e-02 1.50000430293140e-02 -3.66531114966700e-02
6 5.11349531011960e-02 1.50000267208960e-02 -1.37492762468700e-02
7 4.11349531019880e-02 1.50000267199810e-02 -3.10697843230100e-02
8 -1.00000000000000e-02 1.49544160607490e-02 5.43262526176560e-02
9 1.00000000000000e-02 1.49544160607490e-02 5.43262526176560e-02
10 -4.21453054055800e-02 1.49999995682880e-02 -3.16531114965900e-02
15 -5.21453054051700e-02 1.49999995685850e-02 -1.43326034210100e-02
16 -6.08055594430100e-02 1.50000430296110e-02 -1.93326034208400e-02
49 5.51100097049032e-02 1.50000757801268e-02 -1.60442762457585e-02
50 5.65252071391834e-02 1.50001336034519e-02 -2.44130823868233e-02
51 5.30852071396134e-02 1.50001336031373e-02 -3.03713371647473e-02
52 4.56642659640982e-02 1.50000826197145e-02 -3.36847843218637e-02
53 4.86449531013910e-02 1.50000267206683e-02 -1.80620827578276e-02
54 4.61649531015889e-02 1.50000267204415e-02 -2.23575687607112e-02
55 4.35649531017964e-02 1.50000267202037e-02 -2.68609008605085e-02
68 -1.00000000000000e-02 1.42833810021432e-02 5.92608358776814e-02
69 -4.82000000000000e-03 1.36069561037050e-02 6.42350543446140e-02
70 -2.00000000000001e-04 1.36069561037050e-02 6.42350543446140e-02
71 4.96000000000000e-03 1.36069561037050e-02 6.42350543446140e-02
72 -4.82000000000000e-03 1.49544160607490e-02 5.43262526176560e-02
73 -2.00000000000001e-04 1.49544160607490e-02 5.43262526176560e-02
74 4.96000000000000e-03 1.49544160607490e-02 5.43262526176560e-02
94 -4.67092592835217e-02 1.50000224722485e-02 -3.42881114964952e-02
100 -5.64494516621287e-02 1.50000211687148e-02 -1.68176034206618e-02
101 -5.84855594430712e-02 1.50000430295421e-02 -2.33509612944331e-02
102 -5.59555594431381e-02 1.50000430294669e-02 -2.77330498376187e-02
103 -5.34155594432053e-02 1.50000430293915e-02 -3.21324588888802e-02
104 -4.98053054052659e-02 1.49999995685155e-02 -1.83856023106957e-02
105 -4.70953054053770e-02 1.49999995684350e-02 -2.30794599991779e-02
106 -4.46353054054779e-02 1.49999995683619e-02 -2.73403049857706e-02
275 5.27791909957701e-02 1.50000801529907e-02 -2.08996723147659e-02
276 5.06635535821582e-02 1.50000835558450e-02 -2.52008493631375e-02
283 -2.92317735937806e-03 1.42810357612265e-02 5.92780820504544e-02
284 2.05548231690472e-03 1.42807660835540e-02 5.92800651762411e-02
285 6.40162852351310e-03 1.42807114906794e-02 5.92804666352733e-02
302 -5.31435579714264e-02 1.50000213140403e-02 -2.26105012497180e-02
303 -5.08892026185514e-02 1.50000214820157e-02 -2.65924898551430e-02
311 203 6 49 53 
312 203 49 2 275 
313 203 53 49 275 
314 203 2 50 275 
315 203 50 51 276 
316 203 50 276 275 
317 203 51 1 52 
318 203 52 7 55 
319 203 54 53 275 
320 203 55 54 276 
321 203 51 52 55 
322 203 276 54 275 
323 203 51 55 276 
358 203 8 68 72 
359 203 68 4 69 
360 203 69 70 283 
361 203 70 71 284 
362 203 70 284 283 
363 203 68 69 283 
364 203 73 72 283 
365 203 74 73 284 
366 203 72 68 283 
367 203 73 283 284 
368 203 71 3 285 
369 203 74 284 285 
370 203 9 74 285 
371 203 71 285 284 
372 203 3 9 285 
458 203 100 15 104 
459 203 16 100 101 
460 203 102 101 302 
461 203 103 102 303 
462 203 102 302 303 
463 203 5 103 94 
464 203 10 94 106 
465 203 106 94 103 
466 203 101 100 302 
467 203 104 105 302 
468 203 100 104 302 
469 203 302 105 303 
470 203 105 106 303 
471 203 106 103 303 
