45 48
1 4.97952071400230e-02 1.50001336028370e-02 -3.60697843215400e-02
2 5.97952071387740e-02 1.50001336037510e-02 -1.87492762461800e-02
3 1.00000000000000e-02 1.36069561037050e-02 6.42350543446140e-02
4 -1.00000000000000e-02 1.36069561037050e-02 6.42350543446140e-02
5 -5.08055594432700e-02 1.50000430293140e-02 -3.66531114966700e-02
6 5.11349531011960e-02 1.50000267208960e-02 -1.37492762468700e-02
7 4.11349531019880e-02 1.50000267199810e-02 -3.10697843230100e-02
8 -1.00000000000000e-02 1.49544160607490e-02 5.43262526176560e-02
9 1.00000000000000e-02 1.49544160607490e-02 5.43262526176560e-02
10 -4.21453054055800e-02 1.49999995682880e-02 -3.16531114965900e-02
15 -5.21453054051700e-02 1.49999995685850e-02 -1.43326034210100e-02
16 -6.08055594430100e-02 1.50000430296110e-02 -1.93326034208400e-02
49 5.54737403744813e-02 1.50000802692067e-02 -1.62542762457298e-02
50 5.72852071390884e-02 1.50001336035215e-02 -2.30967237730959e-02
51 5.47852071394009e-02 1.50001336032928e-02 -2.74268507919360e-02
52 5.22852071397134e-02 1.50001336030642e-02 -3.17569778107762e-02
53 4.54737403752715e-02 1.50000802682917e-02 -3.35747843218787e-02
54 4.86249531013926e-02 1.50000267206665e-02 -1.80967237739799e-02
55 4.61349531015913e-02 1.50000267204387e-02 -2.24095302849396e-02
56 4.36349531017908e-02 1.50000267202101e-02 -2.67396573039755e-02
71 -1.00000000000000e-02 1.42806860822291e-02 5.92806534811353e-02
72 -4.98000000000000e-03 1.36069561037050e-02 6.42350543446140e-02
73 1.99999999999992e-05 1.36069561037050e-02 6.42350543446140e-02
74 5.02000000000000e-03 1.36069561037050e-02 6.42350543446140e-02
75 1.00000000000000e-02 1.42806860822291e-02 5.92806534811353e-02
76 -4.98000000000000e-03 1.49544160607490e-02 5.43262526176560e-02
77 1.99999999999992e-05 1.49544160607490e-02 5.43262526176560e-02
78 5.02000000000000e-03 1.49544160607490e-02 5.43262526176560e-02
100 -4.64840926785379e-02 1.50000213422619e-02 -3.41581114964998e-02
107 -5.64754324242422e-02 1.50000212990978e-02 -1.68326034206613e-02
108 -5.83055594430760e-02 1.50000430295367e-02 -2.36627304397981e-02
109 -5.58055594431421e-02 1.50000430294625e-02 -2.79928574587562e-02
110 -5.33055594432082e-02 1.50000430293882e-02 -3.23229844777143e-02
111 -4.96353054052728e-02 1.49999995685104e-02 -1.86800509479805e-02
112 -4.71453054053750e-02 1.49999995684365e-02 -2.29928574588000e-02
113 -4.46453054054775e-02 1.49999995683622e-02 -2.73229844776950e-02
309 5.19780264032406e-02 1.50000809534938e-02 -2.24371356489530e-02
310 4.97029438923988e-02 1.50000839993548e-02 -2.69476810940435e-02
311 4.83237632915856e-02 1.50000932358160e-02 -3.10648619059414e-02
318 -2.89275352348045e-03 1.42708579934023e-02 5.93529261917344e-02
319 2.15326637317419e-03 1.42324278672383e-02 5.96355293952741e-02
320 6.40549375357333e-03 1.41162403467632e-02 6.04899363092008e-02
354 -5.29917412753813e-02 1.50000216153533e-02 -2.30121173074043e-02
355 -5.07166899698614e-02 1.50000228546600e-02 -2.75229634152104e-02
356 -4.93369606027027e-02 1.50000266129020e-02 -3.16422307533206e-02
345 203 6 49 54 
346 203 49 2 50 
347 203 50 51 309 
348 203 51 52 310 
349 203 51 310 309 
350 203 52 1 311 
351 203 310 52 311 
352 203 1 53 311 
353 203 53 7 56 
354 203 49 50 309 
355 203 55 54 309 
356 203 56 55 310 
357 203 54 49 309 
358 203 55 309 310 
359 203 53 56 311 
360 203 56 310 311 
397 203 8 71 76 
398 203 71 4 72 
399 203 72 73 318 
400 203 73 74 319 
401 203 73 319 318 
402 203 74 3 320 
403 203 319 74 320 
404 203 3 75 320 
405 203 75 9 78 
406 203 71 72 318 
407 203 77 76 318 
408 203 78 77 319 
409 203 76 71 318 
410 203 77 318 319 
411 203 75 78 320 
412 203 78 319 320 
541 203 107 15 111 
542 203 16 107 108 
543 203 109 108 354 
544 203 110 109 355 
545 203 109 354 355 
546 203 5 110 356 
547 203 100 5 356 
548 203 110 355 356 
549 203 10 100 113 
550 203 108 107 354 
551 203 111 112 354 
552 203 112 113 355 
553 203 107 111 354 
554 203 113 100 356 
555 203 355 113 356 
556 203 354 112 355 
