62 78
1 1.00000000000000e+00 0.00000000000000e+00 1.00000000000000e-01
2 1.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
3 0.00000000000000e+00 0.00000000000000e+00 1.00000000000000e-01
4 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
5 4.99999999999991e-02 0.00000000000000e+00 1.00000000000000e-01
6 9.99999999999983e-02 0.00000000000000e+00 1.00000000000000e-01
7 1.49999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
8 1.99999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
9 2.49999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
10 2.99999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
11 3.49999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
12 3.99999999999997e-01 0.00000000000000e+00 1.00000000000000e-01
13 4.49999999999998e-01 0.00000000000000e+00 1.00000000000000e-01
14 4.99999999999998e-01 0.00000000000000e+00 1.00000000000000e-01
15 5.49999999999998e-01 0.00000000000000e+00 1.00000000000000e-01
16 5.99999999999998e-01 0.00000000000000e+00 1.00000000000000e-01
17 6.49999999999998e-01 0.00000000000000e+00 1.00000000000000e-01
18 6.99999999999999e-01 0.00000000000000e+00 1.00000000000000e-01
19 7.49999999999999e-01 0.00000000000000e+00 1.00000000000000e-01
20 7.99999999999999e-01 0.00000000000000e+00 1.00000000000000e-01
21 8.49999999999999e-01 0.00000000000000e+00 1.00000000000000e-01
22 8.99999999999999e-01 0.00000000000000e+00 1.00000000000000e-01
23 9.50000000000000e-01 0.00000000000000e+00 1.00000000000000e-01
24 4.99999999999991e-02 0.00000000000000e+00 0.00000000000000e+00
25 9.99999999999983e-02 0.00000000000000e+00 0.00000000000000e+00
26 1.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
27 1.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
28 2.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
29 2.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
30 3.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
31 3.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
32 4.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
33 4.99999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
34 5.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
35 5.99999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
36 6.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
37 6.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
38 7.49999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
39 7.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
40 8.49999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
41 8.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
42 9.50000000000000e-01 0.00000000000000e+00 0.00000000000000e+00
43 1.00000000000000e+00 0.00000000000000e+00 4.99999999999996e-02
44 0.00000000000000e+00 0.00000000000000e+00 4.99999999999996e-02
45 7.03011214408821e-02 0.00000000000000e+00 4.99999993867597e-02
46 1.74660952916764e-01 0.00000000000000e+00 4.99999971288318e-02
47 2.74973694335703e-01 0.00000000000000e+00 4.99999853467534e-02
48 3.74998135492559e-01 0.00000000000000e+00 4.99999901235879e-02
49 4.75000024896493e-01 0.00000000000000e+00 4.99999688407049e-02
50 5.75000544278101e-01 0.00000000000000e+00 4.99999227197753e-02
51 6.75007431359101e-01 0.00000000000000e+00 4.99998432440104e-02
52 7.75094780043470e-01 0.00000000000000e+00 4.99998149987809e-02
53 8.76225994332269e-01 0.00000000000000e+00 4.99999629172966e-02
54 9.29698867838043e-01 0.00000000000000e+00 4.99999954319381e-02
55 7.25026594024251e-01 0.00000000000000e+00 4.99998708297563e-02
56 6.25002047081313e-01 0.00000000000000e+00 4.99998703325753e-02
57 5.25000133699273e-01 0.00000000000000e+00 4.99999493170556e-02
58 1.23773967142391e-01 0.00000000000000e+00 4.99999948105274e-02
59 4.24999664940090e-01 0.00000000000000e+00 4.99999778005718e-02
60 2.24905073282952e-01 0.00000000000000e+00 4.99999938787390e-02
61 3.24993204864782e-01 0.00000000000000e+00 4.99999831414868e-02
62 8.25339000629952e-01 0.00000000000000e+00 4.99999556371249e-02
1 203 52 19 55 
2 203 51 17 56 
3 203 50 15 57 
4 203 49 13 59 
5 203 53 41 54 
6 203 52 39 62 
7 203 44 4 24 
8 203 3 44 5 
9 203 2 43 42 
10 203 43 1 23 
11 203 5 44 45 
12 203 6 5 45 
13 203 44 24 45 
14 203 24 25 45 
15 203 26 27 46 
16 203 28 29 47 
17 203 30 31 48 
18 203 32 33 49 
19 203 34 35 50 
20 203 36 37 51 
21 203 38 39 52 
22 203 40 41 53 
23 203 43 23 54 
24 203 42 43 54 
25 203 23 22 54 
26 203 8 7 46 
27 203 10 9 47 
28 203 12 11 48 
29 203 14 13 49 
30 203 16 15 50 
31 203 18 17 51 
32 203 20 19 52 
33 203 22 21 53 
34 203 51 37 55 
35 203 18 51 55 
36 203 37 38 55 
37 203 50 35 56 
38 203 35 36 56 
39 203 49 33 57 
40 203 33 34 57 
41 203 26 46 58 
42 203 25 26 58 
43 203 46 7 58 
44 203 48 31 59 
45 203 12 48 59 
46 203 31 32 59 
47 203 46 27 60 
48 203 8 46 60 
49 203 27 28 60 
50 203 59 32 49 
51 203 28 47 60 
52 203 30 48 61 
53 203 29 30 61 
54 203 48 11 61 
55 203 8 60 9 
56 203 34 50 57 
57 203 25 58 45 
58 203 36 51 56 
59 203 38 52 55 
60 203 40 53 62 
61 203 39 40 62 
62 203 53 21 62 
63 203 42 54 41 
64 203 47 9 60 
65 203 12 59 13 
66 203 47 29 61 
67 203 7 6 58 
68 203 10 47 61 
69 203 58 6 45 
70 203 11 10 61 
71 203 14 49 57 
72 203 16 50 56 
73 203 15 14 57 
74 203 17 16 56 
75 203 20 52 62 
76 203 19 18 55 
77 203 22 53 54 
78 203 21 20 62 
