62 78
1 1.00000000000000e+00 1.00000000000000e+00 1.00000000000000e-01
2 1.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
3 0.00000000000000e+00 1.00000000000000e+00 1.00000000000000e-01
4 0.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
5 9.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
6 9.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
7 8.50000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
8 8.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
9 7.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
10 7.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
11 6.50000000000004e-01 1.00000000000000e+00 1.00000000000000e-01
12 6.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
13 5.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
14 5.00000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
15 4.50000000000003e-01 1.00000000000000e+00 1.00000000000000e-01
16 4.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
17 3.50000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
18 3.00000000000002e-01 1.00000000000000e+00 1.00000000000000e-01
19 2.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
20 2.00000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
21 1.50000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
22 1.00000000000001e-01 1.00000000000000e+00 1.00000000000000e-01
23 5.00000000000004e-02 1.00000000000000e+00 1.00000000000000e-01
24 9.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
25 9.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
26 8.50000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
27 8.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
28 7.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
29 7.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
30 6.50000000000004e-01 1.00000000000000e+00 0.00000000000000e+00
31 6.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
32 5.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
33 5.00000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
34 4.50000000000003e-01 1.00000000000000e+00 0.00000000000000e+00
35 4.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
36 3.50000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
37 3.00000000000002e-01 1.00000000000000e+00 0.00000000000000e+00
38 2.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
39 2.00000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
40 1.50000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
41 1.00000000000001e-01 1.00000000000000e+00 0.00000000000000e+00
42 5.00000000000004e-02 1.00000000000000e+00 0.00000000000000e+00
43 1.00000000000000e+00 1.00000000000000e+00 4.99999999999996e-02
44 0.00000000000000e+00 1.00000000000000e+00 4.99999999999996e-02
45 9.29698878495735e-01 1.00000000000000e+00 4.99999993845772e-02
46 8.25339046834069e-01 1.00000000000000e+00 4.99999971072813e-02
47 7.25026303611514e-01 1.00000000000000e+00 4.99999850060713e-02
48 6.25001863108614e-01 1.00000000000000e+00 4.99999890507307e-02
49 5.24999984757849e-01 1.00000000000000e+00 4.99999583935491e-02
50 4.24999425627852e-01 1.00000000000000e+00 4.99999933923579e-02
51 3.24992482604312e-01 1.00000000000000e+00 4.99999933170592e-02
52 2.24905088283512e-01 1.00000000000000e+00 4.99999780427867e-02
53 1.23773976272636e-01 1.00000000000000e+00 4.99999932126394e-02
54 7.03011239787806e-02 1.00000000000000e+00 4.99999991897944e-02
55 2.74973297211306e-01 1.00000000000000e+00 4.99999883308217e-02
56 3.74997944619924e-01 1.00000000000000e+00 4.99999848111561e-02
57 4.74999860941261e-01 1.00000000000000e+00 4.99999861836804e-02
58 8.76226032629568e-01 1.00000000000000e+00 4.99999947928634e-02
59 5.75000335043076e-01 1.00000000000000e+00 4.99999738492470e-02
60 7.75094925984791e-01 1.00000000000000e+00 4.99999937912014e-02
61 6.75006789687059e-01 1.00000000000000e+00 4.99999823596411e-02
62 1.74660959134433e-01 1.00000000000000e+00 4.99999942408710e-02
1 203 43 2 24 
2 203 1 43 5 
3 203 4 44 42 
4 203 44 3 23 
5 203 5 43 45 
6 203 6 5 45 
7 203 43 24 45 
8 203 24 25 45 
9 203 26 27 46 
10 203 28 29 47 
11 203 30 31 48 
12 203 32 33 49 
13 203 34 35 50 
14 203 36 37 51 
15 203 38 39 52 
16 203 40 41 53 
17 203 44 23 54 
18 203 42 44 54 
19 203 23 22 54 
20 203 8 7 46 
21 203 10 9 47 
22 203 12 11 48 
23 203 14 13 49 
24 203 16 15 50 
25 203 18 17 51 
26 203 20 19 52 
27 203 22 21 53 
28 203 51 37 55 
29 203 18 51 55 
30 203 37 38 55 
31 203 50 35 56 
32 203 35 36 56 
33 203 49 33 57 
34 203 14 49 57 
35 203 33 34 57 
36 203 26 46 58 
37 203 25 26 58 
38 203 46 7 58 
39 203 48 31 59 
40 203 12 48 59 
41 203 31 32 59 
42 203 46 27 60 
43 203 8 46 60 
44 203 27 28 60 
45 203 59 32 49 
46 203 28 47 60 
47 203 30 48 61 
48 203 29 30 61 
49 203 48 11 61 
50 203 8 60 9 
51 203 34 50 57 
52 203 25 58 45 
53 203 36 51 56 
54 203 14 57 15 
55 203 38 52 55 
56 203 40 53 62 
57 203 39 40 62 
58 203 53 21 62 
59 203 42 54 41 
60 203 47 9 60 
61 203 12 59 13 
62 203 47 29 61 
63 203 7 6 58 
64 203 10 47 61 
65 203 58 6 45 
66 203 11 10 61 
67 203 16 50 56 
68 203 15 57 50 
69 203 17 16 56 
70 203 20 52 62 
71 203 19 18 55 
72 203 22 53 54 
73 203 21 20 62 
74 203 52 39 62 
75 203 53 41 54 
76 203 49 13 59 
77 203 17 56 51 
78 203 52 19 55 
