52 76
1 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
2 0.00000000000000e+00 -5.00000000000000e-01 6.12323399573677e-17
3 0.00000000000000e+00 5.00000000000000e-01 0.00000000000000e+00
95 0.00000000000000e+00 -4.00000000000000e-01 4.89858719658941e-17
96 0.00000000000000e+00 -3.00000000000000e-01 3.67394039744206e-17
97 0.00000000000000e+00 -2.00000000000000e-01 2.44929359829471e-17
98 0.00000000000000e+00 -1.00000000000000e-01 1.22464679914735e-17
140 0.00000000000000e+00 4.00000000000000e-01 0.00000000000000e+00
141 0.00000000000000e+00 3.00000000000000e-01 0.00000000000000e+00
142 0.00000000000000e+00 2.00000000000000e-01 0.00000000000000e+00
143 0.00000000000000e+00 1.00000000000000e-01 0.00000000000000e+00
144 0.00000000000000e+00 4.90238811686472e-01 9.83153473077100e-02
145 0.00000000000000e+00 4.61336369935057e-01 1.92791996138698e-01
146 0.00000000000000e+00 4.15297949597906e-01 2.78437808244094e-01
147 0.00000000000000e+00 3.52440926971181e-01 3.54662364786137e-01
148 0.00000000000000e+00 2.77131739368347e-01 4.16170636920332e-01
149 0.00000000000000e+00 1.91341716182545e-01 4.61939766255643e-01
150 0.00000000000000e+00 9.67747340254302e-02 4.90545258721667e-01
151 0.00000000000000e+00 3.06161699786838e-17 5.00000000000000e-01
152 0.00000000000000e+00 -9.83153473077100e-02 4.90238811686472e-01
153 0.00000000000000e+00 -1.92791996138698e-01 4.61336369935057e-01
154 0.00000000000000e+00 -2.78437808244094e-01 4.15297949597906e-01
155 0.00000000000000e+00 -3.54662364786137e-01 3.52440926971181e-01
156 0.00000000000000e+00 -4.16170636920332e-01 2.77131739368347e-01
157 0.00000000000000e+00 -4.62538603417229e-01 1.89889547760901e-01
158 0.00000000000000e+00 -4.90545258721667e-01 9.67747340254303e-02
519 0.00000000000000e+00 3.40090664163203e-01 1.91830197047594e-01
520 0.00000000000000e+00 3.09567975657707e-01 2.77212490260526e-01
521 0.00000000000000e+00 2.26929547310184e-01 3.46285730414847e-01
522 0.00000000000000e+00 1.35828739418406e-01 3.99708268037488e-01
523 0.00000000000000e+00 4.72093498635621e-02 3.93868083773917e-01
524 0.00000000000000e+00 -7.92474217820045e-02 3.79631290941980e-01
525 0.00000000000000e+00 -1.92389462491865e-01 3.68398780869394e-01
526 0.00000000000000e+00 -2.55286082073258e-01 3.04447492976581e-01
527 0.00000000000000e+00 -3.32256785387902e-01 2.16830095253859e-01
528 0.00000000000000e+00 -3.73340184347250e-01 1.01625041480887e-01
529 0.00000000000000e+00 3.74223792272242e-01 9.73252581135137e-02
530 0.00000000000000e+00 2.63248733780802e-01 1.01779268354262e-01
531 0.00000000000000e+00 1.52268334245158e-01 1.02483944222302e-01
532 0.00000000000000e+00 4.60119915004482e-02 9.80753772907417e-02
533 0.00000000000000e+00 -1.56730937980652e-01 9.66496067615027e-02
534 0.00000000000000e+00 -5.55866608189476e-02 9.53883217191643e-02
535 0.00000000000000e+00 -2.61757784412397e-01 1.00940080021748e-01
536 0.00000000000000e+00 2.15310984213348e-01 2.17637653178013e-01
537 0.00000000000000e+00 -1.54533501463932e-01 2.81928749681680e-01
538 0.00000000000000e+00 1.21392420944787e-01 3.07435379003576e-01
539 0.00000000000000e+00 1.98462929816333e-02 2.88787966889077e-01
540 0.00000000000000e+00 -2.12039650507002e-01 1.97542600594076e-01
541 0.00000000000000e+00 9.04617174782331e-02 2.00703293602571e-01
542 0.00000000000000e+00 -1.10243355878995e-01 1.87233239648358e-01
543 0.00000000000000e+00 -1.24786374962468e-02 1.89233664553655e-01
544 0.00000000000000e+00 -6.68724718864818e-02 2.64488172789731e-01
1007 203 144 3 140 
1008 203 146 145 519 
1009 203 147 146 520 
1010 203 146 519 520 
1011 203 148 147 521 
1012 203 147 520 521 
1013 203 149 148 521 
1014 203 150 149 522 
1015 203 149 521 522 
1016 203 151 150 523 
1017 203 150 522 523 
1018 203 152 151 524 
1019 203 151 523 524 
1020 203 154 153 525 
1021 203 155 154 526 
1022 203 154 525 526 
1023 203 156 155 527 
1024 203 155 526 527 
1025 203 157 156 527 
1026 203 158 157 528 
1027 203 157 527 528 
1028 203 2 158 95 
1029 203 140 141 529 
1030 203 141 142 530 
1031 203 141 530 529 
1032 203 142 143 531 
1033 203 142 531 530 
1034 203 143 1 532 
1035 203 143 532 531 
1036 203 96 95 528 
1037 203 98 97 533 
1038 203 1 98 534 
1039 203 98 533 534 
1040 203 144 140 529 
1041 203 95 158 528 
1042 203 519 145 529 
1043 203 145 144 529 
1044 203 153 152 524 
1045 203 96 528 535 
1046 203 532 1 534 
1047 203 97 96 535 
1048 203 97 535 533 
1049 203 153 524 525 
1050 203 521 520 536 
1051 203 526 525 537 
1052 203 522 521 538 
1053 203 521 536 538 
1054 203 523 522 538 
1055 203 524 523 539 
1056 203 523 538 539 
1057 203 535 528 527 
1058 203 527 526 540 
1059 203 535 527 540 
1060 203 526 537 540 
1061 203 525 524 537 
1062 203 531 532 541 
1063 203 530 531 536 
1064 203 533 535 540 
1065 203 529 530 519 
1066 203 519 530 536 
1067 203 533 540 542 
1068 203 532 534 543 
1069 203 520 519 536 
1070 203 534 533 542 
1071 203 534 542 543 
1072 203 532 543 541 
1073 203 537 524 544 
1074 203 524 539 544 
1075 203 539 538 541 
1076 203 536 531 541 
1077 203 540 537 542 
1078 203 537 544 542 
1079 203 542 544 543 
1080 203 539 541 543 
1081 203 538 536 541 
1082 203 543 544 539 
