19 22
12 4.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
13 4.00000000000000e+00 -5.00000000000000e-01 6.12323399573677e-17
14 4.00000000000000e+00 5.00000000000000e-01 0.00000000000000e+00
45 4.00000000000000e+00 -1.35500000000000e-01 1.65939641284466e-17
46 4.00000000000000e+00 -3.16500000000000e-01 3.87600711930137e-17
67 4.00000000000000e+00 1.50500000000000e-01 0.00000000000000e+00
68 4.00000000000000e+00 3.25500000000000e-01 0.00000000000000e+00
120 4.00000000000000e+00 4.61336369935057e-01 1.92791996138698e-01
121 4.00000000000000e+00 3.52440926971181e-01 3.54662364786137e-01
122 4.00000000000000e+00 1.91341716182545e-01 4.61939766255643e-01
123 4.00000000000000e+00 3.06161699786838e-17 5.00000000000000e-01
124 4.00000000000000e+00 -1.92791996138698e-01 4.61336369935057e-01
125 4.00000000000000e+00 -3.54662364786137e-01 3.52440926971181e-01
126 4.00000000000000e+00 -4.62538603417229e-01 1.89889547760901e-01
359 4.00000000000000e+00 2.48159469578812e-01 1.99657549561319e-01
360 4.00000000000000e+00 4.02972956465539e-02 2.17535798639519e-01
361 4.00000000000000e+00 -1.57537683351103e-01 2.97813389251633e-01
362 4.00000000000000e+00 -3.15710698833080e-01 1.64853574529511e-01
363 4.00000000000000e+00 -1.41071395943819e-01 1.25752542097137e-01
669 203 362 363 361 
691 203 363 46 45 
836 203 14 120 68 
837 203 120 121 359 
838 203 68 120 359 
839 203 121 122 359 
840 203 122 123 360 
841 203 122 360 359 
842 203 123 124 361 
843 203 360 123 361 
844 203 124 125 361 
845 203 125 126 362 
846 203 361 125 362 
847 203 126 13 362 
848 203 12 67 360 
849 203 67 68 359 
850 203 13 46 362 
851 203 360 67 359 
852 203 12 360 363 
853 203 45 12 363 
854 203 360 361 363 
855 203 362 46 363 
