19 22
1 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
2 0.00000000000000e+00 -5.00000000000000e-01 6.12323399573677e-17
3 0.00000000000000e+00 5.00000000000000e-01 0.00000000000000e+00
65 0.00000000000000e+00 -3.08500000000000e-01 3.77803537536958e-17
66 0.00000000000000e+00 -1.30500000000000e-01 1.59816407288730e-17
87 0.00000000000000e+00 3.15000000000000e-01 0.00000000000000e+00
88 0.00000000000000e+00 1.37000000000000e-01 0.00000000000000e+00
89 0.00000000000000e+00 4.61336369935057e-01 1.92791996138698e-01
90 0.00000000000000e+00 3.52440926971181e-01 3.54662364786137e-01
91 0.00000000000000e+00 1.91341716182545e-01 4.61939766255643e-01
92 0.00000000000000e+00 3.06161699786838e-17 5.00000000000000e-01
93 0.00000000000000e+00 -1.92791996138698e-01 4.61336369935057e-01
94 0.00000000000000e+00 -3.54662364786137e-01 3.52440926971181e-01
95 0.00000000000000e+00 -4.62538603417229e-01 1.89889547760901e-01
218 0.00000000000000e+00 2.49589146038988e-01 1.95243983302566e-01
219 0.00000000000000e+00 6.04293549128867e-02 1.98660323972591e-01
220 0.00000000000000e+00 -1.49068818623530e-01 2.44303456577480e-01
221 0.00000000000000e+00 -3.09928267816420e-01 1.43869655136207e-01
222 0.00000000000000e+00 -5.33255140689225e-02 1.14133696149650e-01
432 203 89 3 87 
433 203 90 89 218 
434 203 91 90 218 
435 203 89 87 218 
436 203 92 91 219 
437 203 91 218 219 
438 203 93 92 220 
439 203 94 93 220 
440 203 92 219 220 
441 203 95 94 221 
442 203 2 95 221 
443 203 94 220 221 
444 203 87 88 218 
445 203 65 2 221 
446 203 66 65 221 
447 203 1 66 222 
448 203 218 88 219 
449 203 88 1 219 
450 203 66 221 220 
451 203 219 1 222 
452 203 220 219 222 
453 203 66 220 222 
