53 78
12 4.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
13 4.00000000000000e+00 -5.00000000000000e-01 6.12323399573677e-17
14 4.00000000000000e+00 5.00000000000000e-01 0.00000000000000e+00
54 4.00000000000000e+00 -1.00000000000000e-01 1.22464679914735e-17
55 4.00000000000000e+00 -2.00000000000000e-01 2.44929359829471e-17
56 4.00000000000000e+00 -3.00000000000000e-01 3.67394039744206e-17
57 4.00000000000000e+00 -4.00000000000000e-01 4.89858719658941e-17
99 4.00000000000000e+00 1.00000000000000e-01 0.00000000000000e+00
100 4.00000000000000e+00 2.00000000000000e-01 0.00000000000000e+00
101 4.00000000000000e+00 3.00000000000000e-01 0.00000000000000e+00
102 4.00000000000000e+00 4.00000000000000e-01 0.00000000000000e+00
203 4.00000000000000e+00 4.90238811686472e-01 9.83153473077100e-02
204 4.00000000000000e+00 4.61336369935057e-01 1.92791996138698e-01
205 4.00000000000000e+00 4.15297949597906e-01 2.78437808244094e-01
206 4.00000000000000e+00 3.52440926971181e-01 3.54662364786137e-01
207 4.00000000000000e+00 2.77131739368347e-01 4.16170636920332e-01
208 4.00000000000000e+00 1.91341716182545e-01 4.61939766255643e-01
209 4.00000000000000e+00 9.67747340254302e-02 4.90545258721667e-01
210 4.00000000000000e+00 3.06161699786838e-17 5.00000000000000e-01
211 4.00000000000000e+00 -9.83153473077100e-02 4.90238811686472e-01
212 4.00000000000000e+00 -1.92791996138698e-01 4.61336369935057e-01
213 4.00000000000000e+00 -2.78437808244094e-01 4.15297949597906e-01
214 4.00000000000000e+00 -3.54662364786137e-01 3.52440926971181e-01
215 4.00000000000000e+00 -4.16170636920332e-01 2.77131739368347e-01
216 4.00000000000000e+00 -4.62538603417229e-01 1.89889547760901e-01
217 4.00000000000000e+00 -4.90545258721667e-01 9.67747340254303e-02
1123 4.00000000000000e+00 3.65572277006825e-01 2.04047933358743e-01
1124 4.00000000000000e+00 3.07192987730722e-01 2.67826101030622e-01
1125 4.00000000000000e+00 2.23965486302825e-01 3.47019432724598e-01
1126 4.00000000000000e+00 1.32497041916100e-01 3.99513617719598e-01
1127 4.00000000000000e+00 3.98546132513056e-02 3.93950074984810e-01
1128 4.00000000000000e+00 -8.52683259645891e-02 3.94662085027667e-01
1129 4.00000000000000e+00 -1.91910764996722e-01 3.71853264685013e-01
1130 4.00000000000000e+00 -2.57169843578814e-01 3.06402121509841e-01
1131 4.00000000000000e+00 -3.41290047269017e-01 2.33271372067450e-01
1132 4.00000000000000e+00 -3.52869665227354e-01 1.10657416732569e-01
1133 4.00000000000000e+00 4.99698322428275e-02 8.56278710140281e-02
1134 4.00000000000000e+00 1.49353458609228e-01 8.41569668100844e-02
1135 4.00000000000000e+00 2.48087002311771e-01 8.62819604115724e-02
1136 4.00000000000000e+00 3.63071481717822e-01 1.06891977805359e-01
1137 4.00000000000000e+00 -5.04746742145588e-02 8.55002142889036e-02
1138 4.00000000000000e+00 -1.52638388132116e-01 8.73720936914163e-02
1139 4.00000000000000e+00 -2.46657925270294e-01 7.71124864901683e-02
1140 4.00000000000000e+00 2.04897073670006e-01 2.41560277605609e-01
1141 4.00000000000000e+00 2.80744168674880e-01 1.77021032639075e-01
1142 4.00000000000000e+00 1.14667398178985e-01 3.05784750148831e-01
1143 4.00000000000000e+00 -1.04419502403399e-02 2.73113619011002e-01
1144 4.00000000000000e+00 -2.26661804096634e-01 1.83895872880407e-01
1145 4.00000000000000e+00 -1.45066772599816e-01 2.84406853373431e-01
1146 4.00000000000000e+00 1.97279527154745e-01 1.55129002039981e-01
1147 4.00000000000000e+00 1.02658504958039e-01 1.86243005609313e-01
1148 4.00000000000000e+00 -1.21221825748335e-03 1.62753660044038e-01
1149 4.00000000000000e+00 -9.83767867696796e-02 1.79532663990645e-01
2441 203 14 203 102 
2442 203 204 205 1123 
2443 203 205 206 1124 
2444 203 205 1124 1123 
2445 203 206 207 1125 
2446 203 206 1125 1124 
2447 203 207 208 1125 
2448 203 208 209 1126 
2449 203 208 1126 1125 
2450 203 209 210 1127 
2451 203 209 1127 1126 
2452 203 210 211 1128 
2453 203 210 1128 1127 
2454 203 212 213 1129 
2455 203 213 214 1130 
2456 203 213 1130 1129 
2457 203 214 215 1131 
2458 203 214 1131 1130 
2459 203 215 216 1131 
2460 203 216 217 1132 
2461 203 216 1132 1131 
2462 203 217 13 57 
2463 203 12 99 1133 
2464 203 99 100 1134 
2465 203 99 1134 1133 
2466 203 100 101 1135 
2467 203 100 1135 1134 
2468 203 101 102 1136 
2469 203 101 1136 1135 
2470 203 54 12 1137 
2471 203 12 1133 1137 
2472 203 55 54 1138 
2473 203 54 1137 1138 
2474 203 56 55 1139 
2475 203 55 1138 1139 
2476 203 57 56 1132 
2477 203 102 203 1136 
2478 203 217 57 1132 
2479 203 203 204 1136 
2480 203 211 212 1128 
2481 203 1136 204 1123 
2482 203 56 1139 1132 
2483 203 1128 212 1129 
2484 203 1124 1125 1140 
2485 203 1123 1124 1141 
2486 203 1136 1123 1141 
2487 203 1124 1140 1141 
2488 203 1125 1126 1142 
2489 203 1125 1142 1140 
2490 203 1127 1128 1143 
2491 203 1130 1131 1144 
2492 203 1129 1130 1145 
2493 203 1130 1144 1145 
2494 203 1131 1132 1144 
2495 203 1135 1136 1141 
2496 203 1134 1135 1146 
2497 203 1135 1141 1146 
2498 203 1133 1134 1147 
2499 203 1134 1146 1147 
2500 203 1137 1133 1148 
2501 203 1133 1147 1148 
2502 203 1132 1139 1144 
2503 203 1138 1137 1149 
2504 203 1137 1148 1149 
2505 203 1139 1138 1144 
2506 203 1128 1129 1145 
2507 203 1126 1127 1142 
2508 203 1144 1138 1149 
2509 203 1128 1145 1143 
2510 203 1142 1127 1143 
2511 203 1142 1143 1147 
2512 203 1140 1142 1147 
2513 203 1144 1149 1145 
2514 203 1147 1143 1148 
2515 203 1143 1145 1149 
2516 203 1148 1143 1149 
2517 203 1146 1141 1140 
2518 203 1140 1147 1146 
